Job_Title,Company_name,Job_location,Company_Experience,Job_skills
Senior Mechanical Lead - Product Development,Cyient,Hyderabad,6-11 Yrs,"['calculation', 'cost', 'manufacturing drawings', 'plastic design', 'design verification', 'standardization', 'mechanism design', 'product design development']"
Marketing Manager,M/s Sarja Electrical  Engineering Service Pvt. Ltd.,"Hybrid - Hyderabad, Telangana, Delhi / NCR, Raipur, Chhattisgarh",7-12 Yrs,"['Led Lighting', 'Street Lighting', 'Mobile Lighting Tower', 'engineering construction', 'Highway Lighting', 'Construction', 'Construction engineering', 'Engineering']"
PEB Detailing Engineer,Pennar Industries,Hyderabad/Secunderabad,1-6 Yrs,"['Structural Engineering', 'AutoCAD', 'Detailing', 'PEB', 'Steel Structures', 'Steel Fabrication', 'Engineering', 'Steel']"
Oracle Supply Chain and Manufacturing Professional,Nubes Opus,Hyderabad/Secunderabad,3-8 Yrs,"['Supply chain', 'Cloud', 'Management', 'Oracle', 'WMS', 'Inventory', 'Oracle Supply Chain Management', 'Manufacturing']"
Lead- Projects (Civil),more retail (MRPL),"Kolkata, Hyderabad/Secunderabad",6-10 Yrs,"['Budget preparation', 'Team management', 'Manager Quality Assurance', 'AutoCAD', 'Project documentation', 'Finance', 'Project planning', 'Manager Quality Control']"
"Staff Tech, NewEquip/Mod",Otis,Hyderabad/Secunderabad,0-3 Yrs,"['Training', 'Manager Quality Assurance', 'Sales', 'AutoCAD', 'Conflict management', 'Project management', 'MS Office', 'field engineering']"
QS & Billing Engineer,B L Kashyap and Sons (BLK),"Hyderabad, Pune, Bangalore/ Bengaluru, Karnataka",5-8 Yrs,"['CIVIL QS & BILLING', 'Ra Bills', 'BOQ & BBS', 'Rate Analysis', 'Client Billing', 'AUTOCAD', 'MATERIAL RECONCILIATION', 'Rate']"
Chassis SW Developer,Pi Square Technologies,"Hybrid - Hyderabad, Pune, Bengaluru",4-9 Yrs,"['Model Based Development', 'Automotive', 'Chassis', 'Powertrain', 'Steering', 'EPS', 'Simulink', 'Brakes']"
Operations & Maintainance_Shift Operator,CN Water Systems,"Hyderabad, Bengaluru, Mumbai (All Areas)",2-5 Yrs,"['RO', 'UF', 'Reverse Osmosis', 'Plant Maintenance', 'RO Plant', 'Pretreatment', 'Operations Planning', 'Planning']"
Geotechnical Engineer,Atkinsréalis,"Mumbai, Gurgaon/Gurugram, Bangalore/Bengaluru",5-10 Yrs,"['Analytical skills', 'Engineering consultancy', 'Production', 'Investigation', 'Inspection', 'geotechnical', 'Consultancy', 'international clients']"
Machine Operator,DMart,"Ahmedabad, Bengaluru, Mumbai (All Areas)",3-7 Yrs,"['iti', 'ITI Electrical', 'ITI Fitter', 'Machine operator', 'machine operating', 'fitter', 'ITI Mechanist', 'Fitness']"
Sr Officer Production/ Assistant Manager Production,DMart,"Ahmedabad, Bangalore/Bengaluru, Mumbai (All Areas)",3-8 Yrs,"['Production', 'Manufacturing', 'PPC', 'UNIT', 'Production Planning', 'Production Engineering', 'Production Supervising', 'Factory']"
Assistant Manager- Process Engineering (OSD),Aizant Drug Research Solutions Pvt Ltd,Hyderabad,6-8 Yrs,"['Troubleshooting Skills', 'OSD', 'Compression', 'Process Engineering', 'Granulation', 'Tablets', 'Packing', 'Coating']"
Urgent Opening For Mechanical Engineers,Indian Register of Shipping (IRCLASS),"Hyderabad, Chennai",4-9 Yrs,"['NDT Inspection', 'NDT Level', 'Mechanical Engg', 'Mechanical', 'Inspection', 'Mechanical engineering', 'NDT']"
"Assistant Design Engineer, Pumps",Flowserve,Bangalore/Bengaluru,0-2 Yrs,"['3D modeling', 'Interpersonal skills', 'Pumps', 'Product design', 'Windows', 'Individual Contributor', 'Document control', 'MS Office']"
Graduate Apprenticeship Trainee,Volvo Group,"Bengaluru, Karnataka",0-0 Yrs,"['Accounting', 'Electronics', 'Mechanical Engineering', 'Embedded Systems', 'Electrical Engineering', 'System', 'Training', 'Mechanical']"
Solar Site Engineer,Software Development Firm,"Hyderabad/Secunderabad, Bangalore/Bengaluru",5-6 Yrs,"['site supervision', 'solar power plant Installation', 'testing', 'vendor management', 'renewable energy', 'site operations', 'Power plant', 'Solar Panel']"
Instrumentation Engineer (Analytical -Pharma),Sipra Labs,"Hyderabad/ Secunderabad, Telangana(Sanath Nagar)",3-6 Yrs,"['instrumentation engineering', 'instrument maintenance', 'Calibration', 'HPLC', 'GC-MS', 'UV', 'Aas', 'Mass Spectrometry']"
Production Support Engineer (Associate),Deutsche Bank,"Pune, Bangalore/Bengaluru",7-10 Yrs,"['Production Support', 'Unix', 'Linux', 'JavaScript', 'Oracle', 'Troubleshooting', 'ITIL', 'SDLC']"
HVAC Design Engineer ( Building Services MNC ),Leading MNC,"Hyderabad, Bangalore/Bengaluru, Mumbai (All Areas)",2-5 Yrs,"['consultancy', 'Hvac Design', 'Heat Load Calculation', 'Building Services', 'MEP Design', 'HEVACOMP', 'BOM', 'Mechanical Code']"
HVAC Techs with DX units & package unit experience To Work @ Dubai,UAE FACILITY MANAGEMENT SERVICES,"Kolkata, Vijayawada, Andhra Pradesh, Dubai, Hyderabad, Telangana, Lucknow, Uttar Pradesh, Ahmedabad, Bengaluru, Nizamabad, Telangana, Mumbai (All Areas)",2-7 Yrs,"['HVAC', 'HVAC Equipments', 'DX UNITS', 'HVAC TECHNICIAN', 'Ahu', 'Ac', 'Air Conditioning', 'Heat Ventilation']"
Asst. Manager / Sr. Engineer - Product Service and Application Support,Vertex Global Solution,"Hybrid - Chennai, Bengaluru, Mumbai (All Areas)",3-8 Yrs,"['Installation And Commissioning', 'Maintenance Engineering', 'After Sales Service', 'Application support', 'Sales', 'Installation', 'Service engineering', 'Engineering']"
Engineering Associate,Marriott,Mumbai,0-3 Yrs,"['Housekeeping', 'Energy conservation', 'Safety training', 'Senior Executive', 'Mechanical', 'Valves', 'Refrigeration', 'Troubleshooting']"
Thermal Energy  CAE Quality Engineer ( Location Vietnam ),IPS GROUP,"Hyderabad, Chennai, Bengaluru",3-7 Yrs,"['Performance', 'Energy', 'OEM', 'thermal', 'drive', 'Automotive', 'Drives', 'Quality']"
Urgent Job Opening  - Sr. Technical Sales Engineer,n/a,"New Delhi, Delhi, Hyderabad, Telangana, Bengaluru",6-11 Yrs,"['CAD CAM', 'CATIA', 'Technical Sales', 'Ansys', 'Cae Tools', 'Sales', 'CAD', 'Cam']"
Urgent Hiring For Electrician,Paradise Food Court,"Hyderabad, Telangana, Bangalore Rural, Karnataka",2-7 Yrs,"['Electrical Maintenance', 'ITI Electrical', 'Electrical Works', 'ITI', 'Hiring', 'Maintenance', 'Electricals']"
Plant Manager,Secure Industries,"Hyderabad, Telangana",11-18 Yrs,"['Plastic Injection Molding', 'Production Planning Control', 'Manpower Handling', 'Leadership Skills', 'Plant', 'Production', 'Handling', 'Control plan']"
JR.Engneer,Medha Servo Drives,"Hyderabad, Telangana(Cherlapally)",1-6 Yrs,"['ELECTRONIC', 'PCB DESIGN', 'Testing And Commissioning', 'NPI', 'Electronics', 'Component Engineering', 'Bom Preparation', 'Product Life Cycle']"
Non-IT Mechanical Jobs (Urgent Hiring),Owfis Jobpe Technologies,"Hyderabad, Telangana(Madhapur), Bengaluru, Karnataka, Delhi / NCR",0-5 Yrs,"['Building', 'Mechanical Electrical Plumbing', 'Plumbing', 'Construction', 'Mechanical', 'Facade', 'Glass', 'Iron']"
Graduate Engineer Trainee,Ericsson,Bangalore/Bengaluru,0-1 Yrs,"['Telecom', 'Automation', '3G', 'Analytical', 'Telecommunication', 'Troubleshooting', 'Auditing', 'Python']"
Internship Trainee - Engineering- Fresh Graduates,Biocon Biologics,Bengaluru(Bande Bommasandra),0-0 Yrs,"['Electrical Maintenance', 'Instrumentation', 'Mechanical Engineering', 'Electrical Engineering', 'Engineering', 'Maintenance', 'Training', 'Instruments']"
BIM Electrical Engineer,Arcadis Consulting India Pvt. Ltd,"Hyderabad/Secunderabad, Bangalore/Bengaluru",5-8 Yrs,"['Electrical design', 'AutoCAD', 'Analytical', 'Power distribution', 'Report writing', 'Waste water treatment', 'Bim', 'Consultancy']"
Electrical Schematics/Wiring Engineer,Leading Client,"Hyderabad/Secunderabad, Bangalore/Bengaluru",4-8 Yrs,"['Power Systems', 'Electrical engineering', 'Electrical design', 'SAP', 'Concept design', 'Electrical Designs', 'System', 'Engineering']"
PPC Manager | Lightning Industry | Lower Parel,Zed O Click,"Hyderabad, Telangana, Pune, Maharashtra, Mumbai (All Areas)",10-12 Yrs,"['Production Planning', 'Led Lighting', 'Production Planning Control', 'Lighting', 'Production Scheduling', 'Material Planning', 'Shift Planning', 'PPC']"
Offshore Structural Designer,Tekskills,"Hyderabad, Pune, Mumbai (All Areas)",5-10 Yrs,"['Offshore Structural Designer', 'S3D', 'E3D Navis Works software', 'TEKLA', 'Offshore', 'Software', 'Navisworks', 'Structural design']"
JR.Engneer,Medha Servo Drives,"Hyderabad, Telangana(Cherlapally)",1-6 Yrs,"['ELECTRONIC', 'PCB DESIGN', 'Testing And Commissioning', 'NPI', 'Electronics', 'Component Engineering', 'Bom Preparation', 'Product Life Cycle']"
