Job_Title,Company_name,Job_location,Company_Experience,Job_skills
Unix Administrator,Infosys,"Hyderabad, Pune, Bengaluru",5-9 Yrs,"['Unix', 'Unix Shell Scripting', 'Unix Administration', 'Scripting', 'Administration', 'Shell scripting']"
Splunk Administrator,Infosys,"Hyderabad, Pune, Bengaluru",5-9 Yrs,"['Rabbitmq', 'Celery', 'API', 'Python', 'Flask', 'Splunk Administration', 'Administration', 'Splunk']"
Windows Administrator,Infosys,"Hyderabad, Pune, Bengaluru",5-9 Yrs,"['WSUS', 'Windows Server', 'Windows Administration', 'SCCM', 'Server', 'Serv', 'Microsoft Windows', 'Administration']"
Linux Administrator,Infosys,"Hyderabad, Pune, Bengaluru",5-9 Yrs,"['Redhat Linux', 'Linux Administration', 'Solaris', 'Administration', 'Linux']"
Site Reliability Engineer - automation,Infosys,"Hyderabad, Pune, Bengaluru",5-9 Yrs,"['Automation Tools', 'Sre', 'Python Development', 'Monitoring Tools', 'Monitoring', 'Site', 'Development', 'Tools']"
Vmware Administrator - VmWare Horizon view,Infosys,"Hyderabad, Pune, Bengaluru",5-8 Yrs,"['VMware', 'Vmware Horizon View', 'Vmware Administration', 'Views', 'Administration', 'Horizon', 'VMware Horizon']"
Infrastructure - Middleware - L3,Infosys,"Hyderabad, Pune, Bengaluru",5-8 Yrs,"['Rabbitmq', 'Ibm Mq Series', 'Axway Sentinel', 'Kafka', 'axway cft', 'Iib 0', 'IRB', 'MQ']"
Infrastructure - DB2 L3 (LUW),Infosys,"Hyderabad, Pune, Bengaluru",5-8 Yrs,"['Linux', 'DB2', 'Windows Administration', 'Unix Administration', 'Unix', 'Infrastructure', 'Microsoft Windows', 'Administration']"
Infrastructure - PostgreSQL DBA,Infosys,"Hyderabad, Pune, Bengaluru",6-8 Yrs,"['Postgres Database', 'Postgresql', 'Postgresql Database Administration', 'Database administration', 'Infrastructure', 'DBMS', 'Administration']"
Infrastructure - storage L2,Infosys,"Hyderabad, Pune, Bengaluru",3-5 Yrs,"['Storage', 'EMC', 'HP Storage', 'Infrastructure', 'L2']"
L3 Support Analyst - VmWare,Infosys,"Hyderabad, Pune, Bengaluru",3-5 Yrs,"['VMware', 'VMware Vsphere', 'Vmware Horizon', 'VSphere', 'L3', 'Horizon']"
Consultant - DB2 LUW,Infosys,"Hyderabad, Pune, Bengaluru",6-8 Yrs,"['DOCKER', 'DB2 LUW', 'DB2', 'Kubernetes', 'Luw', 'DBMS', 'Consulting']"
Consultant - Docker and Kubernetes administrator,Infosys,"Hybrid - Hyderabad, Pune, Bengaluru",6-8 Yrs,"['Docker', 'Kubernetes Administration', 'Kubernetes', 'Consulting', 'Administration']"
Data Engineer - Google BigQuery,Infosys,"Hyderabad, Pune, Bengaluru",5-8 Yrs,"['GCP', 'Bigquery', 'Gcp Cloud', 'Data', 'Cloud', 'Data Engineering', 'Google']"
Technology Analyst - Azure Active Directory,Infosys,"Hyderabad, Pune, Bengaluru",4-6 Yrs,"['Azure Active Directory', 'Azure Iaas', 'Azure Ad Connect', 'Adfs', 'Active directory', 'Ad Serving', 'Directory', 'Microsoft Azure']"
Consultant - Docker and Kubernetes administration,Infosys,"Hyderabad, Pune, Bengaluru",6-8 Yrs,"['Docker', 'Kubernetes Administration', 'Kubernetes', 'Consulting', 'Administration']"
Team LEAD - Kong Admin,Infosys,"Hyderabad, Pune, Bengaluru",6-8 Yrs,"['KONG API', 'DOCKERS', 'Kubernetes', 'Docker', 'API', 'Team', 'Administration', 'Kong']"
Infrastructure Tester,Infosys,"Hyderabad, Pune, Bengaluru",4-9 Yrs,"['Cloud Testing', 'Selenium Testing', 'Automation Selenium', 'Power Bi', 'Aws Cloud', 'Azure Cloud', 'splunk', 'Manual Testing']"
Infra VM,Infosys,"Hybrid - Hyderabad, Telangana, Pune, Maharashtra, Bangalore Rural, Karnataka",3-8 Yrs,"['tenable', 'rapid 7', 'Vulnerability Management', 'Qualys', 'Vulnerability Assessment', 'VM', 'Assessment', 'Security']"
Technology Analyst - Mainframe AppSupport,Infosys,"Hyderabad, Pune, Bengaluru",5-9 Yrs,"['Mainframe Support', 'Application Support', 'Mainframes', 'Technology', 'Application']"
Atlassian Administrator - devops atlassian jira,Infosys,"Hyderabad, Pune, Bengaluru",5-8 Yrs,"['Atlassian', 'Atlassian Jira', 'atlassian administrator', 'Devops', 'Administration', 'JIRA']"
Technology Analyst - Palo Alto,Infosys,"Hyderabad, Pune, Bengaluru",5-8 Yrs,"['Palo Alto Firewall', 'Palo Alto Networks', 'F5', 'Technology', 'Firewall', 'Networking']"
Technology Analyst - IBM DATA Power,Infosys,"Hyderabad, Pune, Bengaluru",3-5 Yrs,"['IBM MQ APPLIANCE', 'MQ', 'Ibm Data Power', 'Mq Series', 'Technology', 'Datapower', 'Data', 'Appliances']"
coldfusion - admin & developer,Infosys,"Hyderabad, Pune, Bengaluru",3-5 Yrs,"['coldfusion developer', 'coldfusion admin', 'Coldfusion', 'Development', 'Administration']"
ETL Tester,Tech Mahindra,"Hyderabad, Telangana, Pune, Maharashtra, Bengaluru",4-9 Yrs,"['Azure Data Factory', 'SQL Queries', 'Informatica', 'ETL', 'AWS', 'Agile Methodology', 'Bi Testing', 'Data Warehouse Testing']"
"Solman Consultant @ Nttdata, Pune, Hyderabad, Bangalore",NTT DATA Business Solutions,"Hyderabad, Telangana, Pune, Maharashtra, Bangalore/ Bengaluru, Karnataka",7-12 Yrs,"['SAP', 'Configuration', 'Solman', 'Monitoring', 'Solution Manager', 'Consulting', 'Management', 'Solution management']"
Abinitio Developer (Chennai/HYD/Kolkatta/Bangalore/Pune),Tata Consultancy Services (TCS),"Hyderabad, Pune, Maharashtra, Chennai, Tamil Nadu",4-8 Yrs,"['Linux', 'Oracle SQL', 'Ab Initio', 'Ab', 'Oracle', 'Initio', 'Development', 'SQL']"
Java Full Stack Developer,Cognizant,"Hyderabad, Pune, Maharashtra, Chennai, Tamil Nadu",6-11 Yrs,"['java', 'Angular', 'Spring Boot', 'AWS', 'Microservices', 'Stack', 'Full Stack', 'Development']"
Java/CP4BA Developer,IBM,"Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru",2-6 Yrs,"['Eclipse', 'Javascript', 'Incident management', 'Troubleshooting', 'SQL', 'Dojo', 'Java', 'web services']"
C++ Developer,IBM,"Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru",2-5 Yrs,"['Unix', 'C++', 'HTML', 'SQL', 'Javascript', 'Java', 'Incident management', 'Troubleshooting']"
Java Developer,IBM,"Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru",2-6 Yrs,"['Maven', 'Linux', 'Struts', 'Troubleshooting', 'SQL', 'Jenkins', 'GIT', 'Docker']"
Expert Essential Services Consultant,IBM,"Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru",10-12 Yrs,"['Linux', 'Cognos', 'Datastage', 'Performance testing', 'Oracle', 'Tekton', 'MQ', 'Nexus']"
