Job_Title,Company_name,Job_skills,Job_location,Company_Experience
Medical Representative (Pharma Sales- Pet Division),Leading Client,"['Medical Sales', 'Sales', 'Field Sales', 'marketing products Sales', 'Pharma Sales', 'Pet', 'Product marketing', 'Pharmaceutical']",Thrissur/Trichur,1-3 Yrs
Medical Representative (Pharma Sales- Pet Division),Leading Client,"['Pharma Sales', 'Field Sales', 'Medical Representative', 'Pharma Marketing', 'Pharmaceutical Sales', 'Marketing', 'Medical', 'Sales']",Bellary/Ballari,1-4 Yrs
Medical Representative (Pharma Sales- Pet Division),Leading Client,"['Pharma Sales', 'Field Sales', 'Medical Representative', 'Pharma Marketing', 'Pharmaceutical Sales', 'Pharmaceutical', 'Pharma selling', 'Medical']","Ludhiana,  Karnataka,  Punjab, Bellary/ Ballari",1-4 Yrs
Medical Representative ( Pharma Sales- Pet Division ),Leading Client,"['Pharma Sales', 'Medical Sales', 'selling', 'Medical Representative', 'Pharma Marketing', 'Pet', 'Medical', 'Marketing']",Belagavi/Belgaum,2-5 Yrs
Medical Representative ( Pharma Sales- Pet Division ),Leading Client,"['Pharma Sales', 'Medical Sales', 'selling', 'Medical Representative', 'Pharma Marketing', 'Pet', 'Sales', 'Pharmaceutical']",Pune,2-5 Yrs
Medical Representative (Pharma Sales- Pet Division),SPM Hr Solutions,"['Field Sales', 'Medical Representative', 'Pharma Marketing', 'Pharmaceutical Sales', 'Pharmaceutical', 'Pharma selling', 'Medical', 'Field']","Bellary/ Ballari, Karnataka, Ludhiana, Punjab",1-4 Yrs
Regulatory Affairs Officer For Well known Pharma Company,Acme Services,"['Europe', 'south africa', 'MENA', 'Regulatory Affairs', 'WHO', 'domestic market', 'regulatory', 'Global']","Mumbai Suburban, Mumbai (All Areas), andheri",3-8 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Business development', 'Filing', 'Development']","Karimnagar, Telangana, Hyderabad, Telangana, Mahabubnagar, Telangana",0-5 Yrs
GI Maxima -Territory Business Manager,Abbott,"['parking', 'Senior management', 'Pharma', 'Finance', 'Corporate', 'Packaging', 'Market research', 'Operations']",Ahmedabad,0-3 Yrs
Therapy Business Manager,Abbott,"['Senior management', 'Pharma', 'Finance', 'Packaging', 'Market research', 'Operations', 'Salesforce', 'Pharmaceutical']",Kolkata,0-3 Yrs
Customer Field Executive - FOS,Startek,"['DRIVING LICENCE', 'Field Work', 'OWN BIKE', 'Driving', 'Foss', 'F#', 'Licensing', 'Field']",Hyderabad(Sun City +13),0-0 Yrs
Customer Support Executive Banking process,Startek,"['Malayalam', 'Kannada', 'Tamil', 'Process', 'Banking Process', 'Customer support']",Hyderabad(Somajiguda),0-0 Yrs
Regulatory Affairs Executive,Pharm Products,"['Pharma', 'Licensing', 'Regulatory affairs', 'pharmaceutical', 'regulatory']",Chennai,1-6 Yrs
Medical Sales Representative - Thane,Axigen Healthcare,"['Medical Representative', 'Pharma Selling', 'Sale', 'Wagle', 'Medical Rep', 'Mumbra', 'MR', 'Gynaec']","Thane, Mumbai (All Areas), Mulund",0-3 Yrs
Sales officer and Medical representative,Primohunt Corporate,"['medical sales', 'Sales', 'Sales Representative', 'Pharma', 'Pharmaceutical sales', 'Medical Representative', 'medical', 'pharmaceutical']",Panaji/Panjim,0-3 Yrs
Sales officer and Medical representative,Primohunt Corporate,"['Sales', 'Pharma', 'Medical Representative', 'medical', 'pharmaceutical']",Nasik/Nashik,0-3 Yrs
Sales officer and Medical representative,Primohunt Corporate,"['medical sales', 'Sales', 'Sales Representative', 'Pharma', 'Pharmaceutical sales', 'Medical Representative', 'Medical', 'Pharmaceutical']",Kolhapur,0-3 Yrs
Medical Coder - Botany / Zoology / Chemistry /Biotech,Clininfotech,"['Medical Coding', 'Biotechnology', 'Ayurveda', 'Microbiology', 'Physiotherapy', 'botany', 'Pharmacology', 'Biology']",Hyderabad/Secunderabad,0-1 Yrs
Nutrition Officer (Similar To Medical Representative),Nestle,"['Medical Representative', 'Pharma Selling', 'Nutrition', 'pharmaceutical Sales', 'MR', 'Medical Sales', 'Nutrition Sales', 'Prescription generation']",Mumbai (All Areas),2-7 Yrs
Area Sales Executive/Medical Representative,Renovate Biologicals,"['Sales And Marketing', 'Communication Skills', 'Presentation Skills', 'Time Management', 'Area sales', 'Sales', 'Presentation', 'Marketing']","Bhopal, Madhya Pradesh, Hyderabad, Telangana, Chennai, Tamil Nadu",0-1 Yrs
Medical Coder Trainee,UG Training Academy,"['Life Science', 'Biotechnology', 'MBBS', 'BYNS', 'Microbiology', 'Zoology', 'GNM', 'BPT']","Hyderabad/Secunderabad, Mangaluru, Karnataka, Chennai, Tamil Nadu",0-1 Yrs
Business Development  & Project Management Officer - Pharma,Regtech India Solutions,"['Pharma', 'Digital Marketing', 'Business Development', 'Sales', 'Project Management', 'new business', 'Client Relationship Management', 'Database Management']",Ahmedabad,0-3 Yrs
Production Officer,Pharm Products,"['Production planning', 'People management skills', 'Pharmaceutical production', 'GMP', 'management', 'production', 'people management', 'management skills']",Chennai,1-6 Yrs
Medical Representative,Saigram Trust,"['Sales', 'Pharma', 'Healthcare', 'Medical Representative', 'OTC', 'Medical', 'Pharmaceutical']","Hyderabad/Secunderabad, Chennai, Coimbatore, Bangalore/Bengaluru",0-2 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Development', 'Business development', 'Filing']","Warangal, Telangana, Hyderabad/ Secunderabad, Telangana, Nizamabad, Telangana",0-5 Yrs
Medical Representative / Area Business Manager,In,"['Customer Analysis', 'Planning And Analysis', 'Market Analysis', 'Sales Analysis', 'Feedback Management', 'Feedback', 'Management', 'Medical']","Hyderabad, Salem, Tamil Nadu, Chennai",0-5 Yrs
Nutrition Officer (Similar To Medical Representative),Nestle,"['nutrition', 'medical representative', 'Pharma Marketing', 'Pharma Selling', 'Nutrition sales', 'pharma sales', 'MR', 'Medical Sales']","Shimoga, Karnataka",1-6 Yrs
Medical Coder Trainee,UG Training Academy,"['Life Science', 'Biotechnology', 'MBBS', 'BYNS', 'Microbiology', 'Zoology', 'GNM', 'BPT']","Hyderabad/Secunderabad, Coimbatore, Tamil Nadu, Bangalore/Bengaluru",0-1 Yrs
Guest Relation Executive,Khazana Jewellery,"['service', 'Grievance Handling', 'guest service', 'customer service', 'Feedback Management', 'Customer Satisfaction', 'Complaint Handling', 'customer relation']","Hyderabad, Telangana(A.S Rao Nagar +1)",0-5 Yrs
Medical Sales Representative,SSP Solutions,"['Pharma Selling', 'Medical Rep', 'pharma', 'medical representative', 'Marketing', 'Medical', 'Sales', 'Medical Sales']","Ballari, Karnataka, Ernakulam, Kerala, Nagercoil, Tamil Nadu, Hyderabad, Telangana, Mangaluru, Karnataka, Mysuru, Karnataka, Thrissur, Kerala, Chennai, Tamil Nadu, Nellore, Andhra Pradesh",1-2 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Filing', 'Development', 'Business development']","Thane, Maharashtra, Navi Mumbai, Maharashtra, Goregaon, Maharashtra",0-5 Yrs
Store Sales Executive,Randstad,"['Credit Card Sales', 'Sales', 'Credit', 'Stores', 'Cards', 'Showroom sales']","Hyderabad, Telangana(Miyapur +6)",0-1 Yrs
Medical Sales Representative,Kshipra Health Solutions,"['Communication Skills', 'Pharma Selling', 'Presentation Skills', 'Medical Rep', 'Medical Sales', 'MR', 'Convincing Power', 'Sales Promotion']","Bengaluru, Delhi / NCR, Mumbai (All Areas)",0-2 Yrs
Business Executive (Sales),Prabott Life Sciences,"['Pharma', 'Sales Executive', 'Business Executive', 'CRM', 'Sales executive activities', 'Sales', 'Pharmaceutical']","Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",0-2 Yrs
Territory Business Manager - Guntur - Diabetes Primus,Abbott,"['Pharma', 'Finance', 'Packaging', 'Market research', 'Operations', 'Salesforce', 'Territory', 'Marketing']",Hyderabad/Secunderabad,0-3 Yrs
Territory Business Manager - Diabetes Primus,Abbott,"['Pharma', 'Finance', 'Packaging', 'Market research', 'Operations', 'Salesforce', 'Territory', 'Management']",Hyderabad/Secunderabad,0-3 Yrs
Business Development Manager / BDME / Field Sales Executive,The GLOBAL ZONE HR SERVICES,"['Medical Sales', 'Convincing Power', 'Business Development Management', 'Communication Skills', 'Field Sales', 'Pharma Selling', 'Negotiation', 'Bde']","Kolkata, West Bengal(Topsia)",0-5 Yrs
Business Development Executive(Pharma PCD),Kryptomed Formulations Pvt  Ltd,"['Pharma Selling', 'PCD', 'Business Development', 'Bde', 'Medical Rep', 'MR', 'Sales And Marketing', 'PMT']","Chandigarh, Chandigarh, Panchkula, Haryana",0-3 Yrs
Hiring For CASA Sales officer - Fresher/Min 1 year experience,Tricolour,"['BDE', 'Sales officer', 'Fresher', 'Graduate', 'Casa Sales', 'Saving Account', 'Credit Card Sales', 'Insurance Sales']","Hyderabad, Telangana(Begumpet +2)",0-1 Yrs
Sales Representative I/Sales Executive,Medtronic,"['Interpersonal skills', 'Surgical', 'Sales', 'Healthcare', 'Account management', 'CME', 'Sales Executive', 'Key account management']",Hyderabad/Secunderabad,0-1 Yrs
"Medical Representative - Chennai, Hyderabad & Bangalore",Panacea Biotec,"['medical representative', 'Pharmaceutical Sales', 'Pharma Selling', 'MR', 'Medical', 'Sales', 'Selling', 'Pharmaceutical']","Hyderabad, Telangana, Chennai, Tamil Nadu, Bengaluru, Karnataka",1-5 Yrs
